MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338363391,2022-01-01T00:00:32,35.84412,-75.62172,0.0,360.0,511.0,WAVERUNNER,IMO0000000,,30,,15,6,,,B
367678420,2022-01-01T00:00:11,46.28462,-84.21018,0.0,299.2,511.0,NEEBISH ISLANDER II,,WDI2463,60,0,24,7,,60,A
338327436,2022-01-01T00:00:37,47.29633,-122.42235,0.0,360.0,511.0,COOL KAT,IMO0000000,,36,,15,3,,,B
338248398,2022-01-01T00:00:52,25.63510,-80.29356,0.0,360.0,511.0,BUCKAROO,IMO0000000,,37,,16,6,,,B
367005480,2022-01-01T00:00:53,29.57192,-90.59406,0.0,291.1,511.0,CREOLE SHAWNEE,,WDC3301,31,0,15,6,,52,A
367379290,2022-01-01T00:00:00,29.57237,-90.38375,3.8,209.0,511.0,DORELLA BANTA,,WDE6366,31,15,21,8,,31,A
338392066,2022-01-01T00:00:00,33.84612,-118.39692,0.0,360.0,511.0,MY BLUE HEAVEN,IMO0000000,,37,,9,3,,,B
367301310,2022-01-01T00:00:01,29.96816,-90.39875,0.0,360.0,3.0,RICHARD GONSOULIN II,,WDD8676,31,0,21,9,,57,A
368204880,2022-01-01T00:00:01,18.31198,-64.83190,0.0,360.0,511.0,L' AMITIE,IMO0000000,WDM4271,36,,15,7,,,B
338326771,2022-01-01T00:00:02,47.25538,-122.43493,0.0,163.9,511.0,AQUAHOLIC,IMO0000000,,37,,11,4,,,B
367162640,2022-01-01T00:00:11,48.49265,-122.68245,2.4,113.2,107.0,PARACLETE,IMO0000000,WDJ7960,37,,0,0,,,B
338328494,2022-01-01T00:00:22,37.51321,-122.19525,0.0,10.4,511.0,BLUE SKY,IMO0000000,BLUESKY,37,,17,4,,,B
338161257,2022-01-01T00:00:29,41.21594,-73.96600,0.0,360.0,511.0,MONTY'S ARK,IMO0000000,WDM4851,37,,10,4,,,B
316003455,2022-01-01T00:00:31,48.36990,-123.72554,0.0,334.7,511.0,LASQUETI WRANGLER,IMO0000000,,30,,12,6,,,B
636020594,2022-01-01T00:00:37,37.18176,-76.11966,0.0,91.7,165.0,STARDUST,IMO9591959,D5ZX7,70,1,221,32,7.2,70,A
368030220,2022-01-01T00:00:51,37.56125,-76.30778,0.0,173.3,511.0,TORO BRAVO,IMO0000000,,36,,16,4,,,B
311000717,2022-01-01T00:00:52,46.24084,-123.72022,0.0,165.6,75.0,ARRIBA,IMO9827413,C6DM4,70,1,229,32,7.5,70,A
518100411,2022-01-01T00:00:50,25.83985,-80.13398,7.2,4.1,511.0,DREAM ON,IMO0000000,E5U3327,37,,32,7,,,B
985346207,2022-01-01T00:00:54,29.68793,-91.21737,0.1,109.6,511.0,WD BASE,,WWDI5,90,15,0,0,0.0,90,A
367539060,2022-01-01T00:00:52,30.47573,-91.19982,0.0,267.8,2.0,SUSAN ELIZABETH,,WDG4681,31,12,23,9,,57,A
367629050,2022-01-01T00:00:53,26.09397,-80.17154,0.0,4.4,511.0,LAUDERDALE LADY,IMO0000000,WDH5554,37,,0,0,,,B
368225360,2022-01-01T00:00:55,47.62816,-122.39452,0.0,360.0,511.0,SV BRIOCHE,IMO0000000,WDM6455,36,,12,4,,,B
367061980,2022-01-01T00:00:00,40.64044,-74.12936,0.0,244.8,152.0,KIMBERLY TURECAMO,IMO7914573,WDC6838,31,0,30,9,,52,A
368011010,2022-01-01T00:00:00,33.71909,-118.27957,0.0,107.2,511.0,HATTENUFF,IMO0000000,WDJ7882,37,,15,5,,,B
367186380,2022-01-01T00:00:00,41.81483,-71.39985,0.0,234.7,511.0,RELIANCE,IMO7367407,WDD7436,31,0,29,8,3.7,52,A
338306884,2022-01-01T00:00:02,47.62921,-122.39038,0.1,360.0,511.0,CLARITY,IMO0000000,,37,,10,4,,,B
367323230,2022-01-01T00:00:03,29.94369,-92.69433,4.6,286.8,288.0,CAPT JACK HIGMAN,,WDE2304,31,12,21,9,,57,A
366961430,2022-01-01T00:00:03,30.45213,-91.19442,0.8,39.2,18.0,JERRY DEAL,,WDJ2315,31,0,17,6,,52,A
367452280,2022-01-01T00:00:05,33.72334,-118.21098,5.5,251.3,511.0,LAGUNA,,WDF4470,31,0,20,7,,52,A
367385760,2022-01-01T00:00:15,39.26997,-76.58469,0.0,360.0,511.0,THERESA S KRAUSE,,WDE6855,31,15,31,8,,52,A
338376911,2022-01-01T00:00:25,46.14660,-123.80890,0.0,282.6,511.0,AMERICAN GIRL,IMO0000000,,37,,13,3,,,B
338364031,2022-01-01T00:00:28,33.62026,-117.92846,0.0,261.2,511.0,TOPAZ,IMO0000000,,37,,20,6,,,B
369970763,2022-01-01T00:00:13,32.68712,-117.23640,0.0,298.4,155.0,RSC-3,,,35,5,,,,35,A
368038000,2022-01-01T00:00:08,48.52225,-122.61212,0.1,169.2,260.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,0,83,13,4.7,30,A
367174060,2022-01-01T00:00:00,41.63325,-70.90690,0.0,54.8,262.0,EAGLE,IMO8705864,WCX5125,60,0,71,18,,69,A
367505010,2022-01-01T00:00:01,29.56510,-90.72764,3.7,89.3,83.0,BOB DEERE,,WDF9423,31,5,24,9,,56,A
367141210,2022-01-01T00:00:01,39.91701,-75.13671,0.1,178.9,511.0,PILOT DELAWARE,,WDD4172,50,0,0,0,0.0,50,A
368173020,2022-01-01T00:00:03,29.65558,-90.23236,5.7,259.5,258.0,MISS BRAYLEE,,WDL8799,52,12,22,10,3.3,52,A
271046486,2022-01-01T00:00:04,37.67832,-74.47989,11.3,206.9,209.0,T.ADALYN,IMO9830305,TCA5311,80,0,154,22,6.4,80,A
367712860,2022-01-01T00:00:08,47.53809,-122.32879,0.1,232.5,153.0,CAROLYN H,IMO8851053,WDI5873,31,0,20,6,1.0,31,A
338364225,2022-01-01T00:00:13,48.12440,-123.45101,0.3,360.0,511.0,LA TERCERA,IMO0000000,,37,,13,4,,,B
338236902,2022-01-01T00:00:19,33.97632,-118.44818,3.1,150.1,511.0,PHASE 8,IMO0000000,,36,,18,4,,,B
367789620,2022-01-01T00:00:20,47.01691,-91.67543,0.0,196.4,511.0,NELS J,,WDJ5618,31,5,30,8,,52,A
338376964,2022-01-01T00:00:25,33.75823,-118.18284,3.9,277.0,275.0,SAGA,IMO0000000,WDK6253,36,,12,4,,,B
368162320,2022-01-01T00:00:28,36.92398,-76.18892,0.0,268.8,343.0,ORION,IMO0000000,WDL7666,37,,14,4,,,B
368056080,2022-01-01T00:00:36,48.51307,-122.60897,0.0,360.0,511.0,RHAPSODY,IMO0000000,WDK4522,36,,13,4,,,B
338313733,2022-01-01T00:00:42,38.82965,-76.54744,0.0,360.0,511.0,M/V MOLLY KAYTE,IMO0000000,WDK3561,37,,14,5,,,B
366788910,2022-01-01T00:00:54,26.77888,-80.04025,0.0,312.0,5.0,BYTE ME,,WDA2236,37,0,21,5,,30,A
367471530,2022-01-01T00:00:09,21.31282,-157.86636,0.0,286.4,511.0,GOLDEN DRAGON,IMO0000000,WDF6184,30,,27,8,,,B
367723450,2022-01-01T00:00:09,47.33076,-122.58046,1.7,210.1,511.0,AQUAHOLIC,,WDI6908,37,,,,,,B
368118360,2022-01-01T00:00:21,38.04983,-122.18031,20.7,309.3,309.0,WATERWINGS,IMO0000000,WATRWNG,37,,9,3,,,B
338329372,2022-01-01T00:00:22,47.80767,-122.39325,0.0,360.0,511.0,KINSHIP,IMO0000000,,37,,13,5,,,B
338164347,2022-01-01T00:00:22,47.64584,-122.31144,0.0,207.6,511.0,TAMMY J,,,37,,15,,,,B
316041376,2022-01-01T00:00:27,48.64300,-123.32507,24.8,146.4,511.0,C-TOW SIDNEY,IMO0000000,,51,,11,2,,,B
366897080,2022-01-01T00:00:09,41.86984,-87.63517,5.5,351.3,511.0,BRIGHT STAR,,WDB4311,60,0,24,7,,6,A
366986450,2022-01-01T00:00:00,38.57154,-90.23185,0.0,243.9,33.0,JULIEN DUBUQUE,,WDC2012,31,0,16,7,,31,A
367169560,2022-01-01T00:00:02,32.76212,-117.23633,0.0,263.9,511.0,OUTER LIMITS,,WDJ6405,60,0,18,5,,60,A
316034095,2022-01-01T00:00:05,48.42145,-123.37072,0.0,360.0,204.0,V2V EMPRESS,IMO9139373,,60,0,38,10,1.7,60,A
477399300,2022-01-01T00:00:01,33.24721,-117.86389,1.1,67.0,337.0,NAVE GALACTIC,IMO9384617,VRFK5,80,0,329,60,21.5,89,A
367311850,2022-01-01T00:00:00,27.97689,-82.82444,0.0,360.0,511.0,STARLITE MAJESTY,,WCX8324,60,15,29,9,,0,A
366984980,2022-01-01T00:00:00,29.96463,-90.27496,0.0,229.0,259.0,SIERRA DAWN,,WDB9913,31,12,46,12,,52,A
368555000,2022-01-01T00:00:00,47.62628,-122.38328,0.1,228.1,511.0,ARCTIC STORM,IMO8720113,WTQ5896,30,0,101,14,6.4,30,A
338303696,2022-01-01T00:00:35,33.61379,-117.91259,0.0,31.2,511.0,DARK SIDE,IMO0000000,,37,,11,4,,,B
368149710,2022-01-01T00:00:49,33.59610,-117.88109,4.8,163.3,161.0,SECOND WIND,IMO0000000,WDL6331,37,,15,5,,,B
368159160,2022-01-01T00:00:52,27.52171,-82.63854,0.0,360.0,160.0,INCA CROSS,IMO0000000,WDL7323,37,,19,7,,,B
367617270,2022-01-01T00:00:53,18.26062,-65.39867,12.9,258.6,511.0,ISLENO,IMO9341201,WDH4396,60,0,47,12,2.7,60,A
367602520,2022-01-01T00:00:00,32.85488,-79.95248,0.1,58.7,511.0,MOIRA MCALLISTER,IMO8981391,WDH2920,31,15,28,9,3.4,0,A
865865865,2022-01-01T00:00:01,33.63210,-118.00783,12.5,119.4,120.0,HARLEY G,,,0,0,22,6,0.0,0,A
339768000,2022-01-01T00:00:02,18.28819,-65.63613,0.0,46.3,511.0,M.Y. CRISTHI,IMO0000000,6YTU4,37,,18,6,,,B
367047120,2022-01-01T00:00:04,45.64890,-122.74547,0.0,230.8,105.0,REBEL,,WDC5832,31,0,24,9,,31,A
338365914,2022-01-01T00:00:04,48.00277,-122.22137,0.0,360.0,511.0,WINE DOWN,IMO0000000,,37,,16,5,,,B
366994750,2022-01-01T00:00:05,41.60883,-70.89540,7.6,334.7,338.0,RUBY M,IMO6804484,WCX3165,31,0,28,8,3.6,37,A
367064160,2022-01-01T00:00:05,41.49074,-71.32676,0.0,360.0,511.0,NORTHEAST PILOT II,,WSC3525,90,15,14,4,,50,A
366851670,2022-01-01T00:00:08,40.71446,-74.01771,0.0,0.4,511.0,BROOKLYN,,WDA8190,60,5,23,8,,60,A
316034254,2022-01-01T00:00:08,32.70665,-117.16639,0.0,360.0,511.0,SUNRA DEL MARE,IMO0000000,CFK5300,36,,15,4,,,B
338320958,2022-01-01T00:00:10,32.72689,-117.19234,0.0,71.3,511.0,OCEAN SPIRIT II,IMO0000000,,36,,17,9,,,B
368174780,2022-01-01T00:00:11,37.91126,-122.34736,0.0,360.0,511.0,IRIS,IMO0000000,WDL8985,37,,14,5,,,B
338175175,2022-01-01T00:00:23,34.17920,-119.22694,0.0,360.0,511.0,ISLANDIA II,IMO0000000,,37,,12,3,,,B
338416285,2022-01-01T00:00:27,34.16353,-119.22559,0.0,360.0,165.0,SAZERAC,IMO0000000,,37,,0,0,,,B
367475030,2022-01-01T00:00:52,30.39577,-81.43010,1.4,298.3,113.0,JEAN RIBAULT,,WDG6597,60,0,46,17,,60,A
368092820,2022-01-01T00:00:53,25.70655,-80.19348,7.5,19.1,511.0,SPAZZINO,IMO0000000,WDK8301,37,,22,5,,,B
367513160,2022-01-01T00:00:02,45.64035,-122.71915,3.2,109.4,111.0,DESCHUTES,IMO9158068,WDG2198,31,0,26,10,,52,A
338229881,2022-01-01T00:00:03,37.86460,-122.49002,0.0,360.0,511.0,ONE TWENTY,,,36,,,,,,B
368051780,2022-01-01T00:00:06,35.49750,-75.39466,2.7,10.1,511.0,CATHRYN ELIZABETH,IMO0000000,WDK4095,30,,25,8,,,B
367299350,2022-01-01T00:00:15,48.66555,-123.40577,0.0,0.0,511.0,NEENAH,,WDD8531,37,,10,3,,,B
368052540,2022-01-01T00:00:20,36.36062,-76.80536,0.0,295.8,511.0,ISLAND GIRL,,WDK4170,52,0,17,8,0.0,52,A
367785220,2022-01-01T00:00:21,48.12444,-123.45083,0.0,189.9,511.0,ARCTIC TERN,,WDJ5188,37,,,,,,B
367732620,2022-01-01T00:00:24,35.92094,-75.58246,3.2,331.7,511.0,JIMMY & JOHNNY JR,IMO8969941,WDI7829,30,,26,7,,,B
338232506,2022-01-01T00:00:33,33.72111,-118.28105,0.0,25.5,511.0,SERENDIPITER,IMO0000000,SERENDI,37,,10,10,,,B
338323033,2022-01-01T00:00:35,47.62927,-122.39283,0.1,360.0,511.0,VAMOS,IMO0000000,,37,,15,5,,,B
311349000,2022-01-01T00:00:39,48.10009,-122.54835,0.0,80.1,329.0,WESTWOOD RAINIER,IMO9226035,C6SI3,70,1,200,31,11.5,70,A
368094580,2022-01-01T00:00:41,38.83890,-76.54534,0.1,355.7,511.0,ARIEL,IMO0000000,WDK8480,36,,8,2,,,B
367505870,2022-01-01T00:00:50,28.49254,-96.32787,6.9,58.6,81.0,ORANGE,,WDF9509,31,12,23,10,,57,A
367004510,2022-01-01T00:00:52,29.97873,-90.40112,1.0,104.3,179.0,BAYOU BLACK,,WDA2716,31,15,18,7,,31,A
538070204,2022-01-01T00:00:53,27.51163,-82.55746,0.0,256.1,511.0,SALTY DAWG,,V7JR7,0,15,,,,0,A
367474680,2022-01-01T00:00:58,29.64882,-91.39525,6.1,289.5,511.0,CUSTOM,,WDF6479,31,0,17,7,,57,A
368028510,2022-01-01T00:00:02,40.56101,-74.23062,0.0,237.7,511.0,VINIK NO.6,IMO7044328,WDJ9696,52,0,46,11,5.3,52,A
367765000,2022-01-01T00:00:02,48.75435,-122.50551,0.0,203.8,511.0,ZENITH,,WDF4625,30,0,36,8,3.5,30,A
368056750,2022-01-01T00:00:04,40.63141,-74.20255,0.0,194.7,297.0,AVA M MCALLISTER,IMO9857561,WDK4592,52,0,33,12,5.4,52,A
367501540,2022-01-01T00:00:08,37.74012,-122.32942,0.1,142.5,142.0,OSG ENDURANCE,IMO9441477,WDF9078,31,0,42,11,5.5,52,A
367702440,2022-01-01T00:00:53,30.00878,-90.83011,9.9,172.0,173.0,SAFETY GOAL,,WDI4828,31,0,21,8,,31,A
241409000,2022-01-01T00:00:58,29.26141,-94.68541,0.1,32.7,159.0,DILOS,IMO9711535,SVCH4,80,1,147,,,80,A
367091630,2022-01-01T00:00:00,41.14790,-73.04181,10.8,236.1,233.0,RESOLUTE,IMO7367419,WTW2234,31,0,30,8,3.7,52,A
366793760,2022-01-01T00:00:02,32.72322,-117.17467,0.0,268.7,511.0,ADVENTURE HORNBLOWER,,WDA3017,60,5,43,10,,60,A
367565750,2022-01-01T00:00:12,34.24455,-119.26496,0.0,262.8,248.0,ISLAND EXPLORER,,WDG7285,60,0,19,,,60,A
367683020,2022-01-01T00:00:54,29.77405,-95.10142,0.0,360.0,511.0,CAPT JIM,,WDI2911,31,15,16,6,,52,A
367451120,2022-01-01T00:00:54,32.85566,-79.95546,0.0,146.9,511.0,PORT ARTHUR,,WDF4374,31,0,17,6,,31,A
367612240,2022-01-01T00:00:58,30.48453,-91.75346,4.4,339.2,511.0,NICHOLAS,,WDH3914,31,0,19,,,31,A
368025020,2022-01-01T00:00:01,40.72225,-74.01978,18.3,354.2,351.0,FERRY GODMOTHER,,WDJ9332,60,0,26,8,1.9,60,A
367474890,2022-01-01T00:00:03,29.11228,-90.19343,0.0,0.0,511.0,MASTER MYLES,,WDF6498,31,15,14,5,,52,A
367755970,2022-01-01T00:00:02,30.22219,-93.25997,0.0,257.7,511.0,SUSAN CROSBY,,WDJ2181,90,3,64,12,,33,A
368073490,2022-01-01T00:00:03,29.82237,-93.96748,6.2,248.7,511.0,RIVER DIAMOND,IMO0000001,WDK6330,31,0,0,0,2.0,31,A
367416750,2022-01-01T00:00:16,39.88609,-75.18188,0.0,66.2,352.0,BLUEFIN,IMO9565596,WDG9742,31,5,35,10,3.7,57,A
368110190,2022-01-01T00:00:01,36.79935,-76.29536,0.0,312.0,337.0,SALISBURY,,WDL2234,52,5,30,12,2.6,52,A
366872110,2022-01-01T00:00:49,25.76437,-80.14562,0.0,360.0,511.0,HERON,,WDB2084,69,15,34,44,9.0,69,A
367453030,2022-01-01T00:00:54,29.94836,-90.02255,0.0,360.0,511.0,REED DANOS,IMO7721988,WDG9285,31,11,30,9,3.9,31,A
366914760,2022-01-01T00:00:59,28.48959,-90.87311,0.2,120.4,511.0,CANDY DANCER,IMO8993045,WDB5897,60,0,39,7,,60,A
368131290,2022-01-01T00:00:01,29.90542,-90.10812,0.0,205.4,271.0,BILLIE RUTH,IMO1300846,WDL4425,57,12,130,34,2.8,57,A
368093830,2022-01-01T00:00:02,29.96878,-90.24002,0.0,141.1,511.0,DIXIE RAIDER,IMO0000181,WDK8404,57,0,23,7,0.0,57,A
368210940,2022-01-01T00:00:08,40.69907,-74.04130,0.0,103.6,313.0,ANNIE MOORE,,WDM4917,60,15,23,7,0.0,60,A
338287000,2022-01-01T00:00:19,47.66885,-122.40567,4.5,143.3,511.0,SCANDIA,,WSP4876,30,,17,5,,,B
367515330,2022-01-01T00:01:03,30.04523,-90.54418,2.8,98.9,511.0,ST ELMO,,WDG2405,31,7,17,7,,31,A
367633230,2022-01-01T00:01:05,30.04776,-90.53545,3.9,113.0,249.0,ASHLEY,,WDH5962,31,0,20,7,,52,A
366935420,2022-01-01T00:01:07,29.72373,-95.27681,0.0,66.9,511.0,DAVID F STONE,IMO8635540,WCZ6032,31,12,19,7,,57,A
366856460,2022-01-01T00:01:07,38.40613,-82.57634,4.1,107.3,110.0,CINCINNATI,IMO8976499,WDD4980,31,0,26,9,,52,A
367797960,2022-01-01T00:01:07,47.65842,-122.26829,0.0,177.6,222.0,ROI,,WDJ6458,37,,,,,,B
368067110,2022-01-01T00:00:01,47.60065,-122.38815,31.4,249.2,250.0,LADY SWIFT,,WDK5666,40,0,24,8,1.0,40,A
366878280,2022-01-01T00:00:02,36.90671,-76.08856,0.1,182.9,511.0,PATAPSCO,,WDG6965,90,0,16,5,,50,A
316003664,2022-01-01T00:00:03,49.31195,-123.10694,0.0,55.0,0.0,COMOX CROWN,IMO7406679,CZ4330,31,0,22,7,2.9,32,A
366984980,2022-01-01T00:01:10,29.96463,-90.27496,0.0,229.0,259.0,SIERRA DAWN,,WDB9913,31,12,46,12,,52,A
366925620,2022-01-01T00:00:00,41.18845,-72.22693,13.7,170.0,161.0,NEW LONDON,,WYW9986,60,0,75,12,,60,A
366995770,2022-01-01T00:00:03,29.76426,-95.09341,2.4,204.8,191.0,ARABIAN,,WDC2629,31,12,16,6,,57,A
366996630,2022-01-01T00:00:03,30.18236,-91.32771,3.5,216.3,218.0,PECOS,,WDC2706,31,12,21,7,,57,A
316001238,2022-01-01T00:00:05,48.81976,-123.28714,12.4,107.4,110.0,MAYNE QUEEN,IMO6522567,VGRR,60,0,84,18,2.4,60,A
338334941,2022-01-01T00:00:06,37.19252,-76.42514,0.0,360.0,511.0,TARHEEL SALLY,IMO0000000,,37,,7,2,,,B
316026464,2022-01-01T00:00:07,49.19740,-123.08991,0.8,217.8,175.0,RIVER STAR,,,31,0,10,4,0.9,52,A
367307850,2022-01-01T00:00:09,32.75667,-79.90600,0.1,172.2,252.0,ATLANTIC COAST,IMO9484065,WDD9171,31,0,31,10,3.6,52,A
367098550,2022-01-01T00:00:08,38.05942,-122.22662,3.6,92.6,511.0,HEIDI L BRUSCO,IMO8628195,WDC9175,31,0,35,9,3.1,46,A
367145870,2022-01-01T00:00:00,41.57399,-70.26951,29.2,344.9,345.0,IYANOUGH,IMO9375719,WDD4527,60,9,46,11,1.6,49,A
367054840,2022-01-01T00:00:01,30.51402,-91.22449,0.1,258.3,511.0,CLYDE K BENJAMIN,,WDC6334,31,15,20,7,,0,A
366887300,2022-01-01T00:00:01,47.58979,-122.34988,0.1,254.9,2.0,GUARD,IMO9139830,WCY2823,52,0,39,11,5.4,52,A
367138050,2022-01-01T00:00:19,39.91448,-72.52393,3.1,154.4,511.0,KAILEY ANN,IMO8939611,WDD3919,30,,23,6,,,B
367338430,2022-01-01T00:00:02,29.95952,-90.28909,0.0,201.8,511.0,TERREL WILLIAMS,,WDE3390,31,15,18,7,,31,A
338323837,2022-01-01T00:00:27,47.66069,-122.37714,0.1,228.3,511.0,NORTHERN CROSS,IMO0000000,,37,,0,0,,,B
366996720,2022-01-01T00:00:02,28.66693,-96.00955,0.1,251.4,62.0,LOU NATARO,,WDC2714,31,0,24,8,,57,A
367585940,2022-01-01T00:00:47,47.62107,-122.52027,0.0,0.0,67.0,FLOAT PLANE,,WDG9253,37,,15,4,,,B
366937150,2022-01-01T00:00:02,45.91246,-85.96551,0.0,178.3,1.0,KAREN ANDRIE,IMO6520454,WBS5272,31,1,34,9,5.2,31,A
368193720,2022-01-01T00:00:02,38.77525,-76.57021,0.0,156.0,511.0,PEGASO,IMO0000000,WDM3051,36,,20,5,,,B
368056830,2022-01-01T00:00:07,33.61026,-117.90429,5.7,322.7,322.0,SEA PATRON,IMO0000000,WDK4600,37,,0,0,,,B
316043248,2022-01-01T00:00:21,48.66577,-123.40604,0.0,48.7,511.0,KATIE M,IMO0000000,,37,,9,3,,,B
367393180,2022-01-01T00:00:28,45.69762,-122.86927,0.3,360.0,511.0,BUBINGA,IMO0000000,WDE7430,37,,15,6,,,B
338365015,2022-01-01T00:00:26,32.71351,-117.23294,1.2,322.3,511.0,LIQUID LOGIC,IMO0000000,,36,,18,4,,,B
338359306,2022-01-01T00:00:33,37.01570,-76.34394,0.0,360.0,511.0,NO MERCY,IMO0000000,,37,,14,6,,,B
316043929,2022-01-01T00:00:40,48.67979,-123.41662,0.0,360.0,511.0,NOT FOR HASTE,IMO0000000,,37,,11,4,,,B
338348342,2022-01-01T00:00:51,48.79081,-122.70923,0.0,344.0,511.0,ALASKAN EXPLORER,IMO0000000,,37,,10,3,,,B
339124000,2022-01-01T00:00:55,37.79381,-122.27837,0.0,235.4,288.0,COULD BE WORSE,IMO0000000,6YUV8,36,,16,8,,,B
366959840,2022-01-01T00:00:00,29.72484,-95.22100,6.0,98.3,98.0,MISS CYNTHIA,,WBM8719,31,12,21,7,,52,A
366773150,2022-01-01T00:00:00,32.61635,-79.74554,6.9,311.9,311.0,ELIZABETH ANN,IMO8851209,WCZ5348,31,0,30,9,,52,A
367395120,2022-01-01T00:00:01,40.70279,-74.00146,7.8,44.6,511.0,CABANA,,WDE7589,60,15,24,9,,0,A
368222290,2022-01-01T00:00:01,21.31360,-157.86600,0.1,360.0,511.0,JULIETTE,IMO0000000,WDM6113,30,,25,6,,,B
441486000,2022-01-01T00:00:01,37.06237,-75.18991,0.9,20.0,270.0,HYUNDAI PRIDE,IMO9637260,D8HP,70,0,366,48,12.4,70,A
563000400,2022-01-01T00:00:02,32.56412,-78.55652,19.0,246.1,245.0,MAERSK SANA,IMO9289922,9V5240,70,0,334,42,14.0,71,A
366979150,2022-01-01T00:00:02,29.95154,-90.16416,0.0,7.5,511.0,LADY MIDGE,,WDF2943,31,0,20,7,,31,A
366844760,2022-01-01T00:00:05,47.25275,-122.43368,0.0,187.2,511.0,REFUGIO,,WDA7570,37,,12,4,,,B
369970397,2022-01-01T00:00:14,36.95732,-76.32920,0.0,16.1,511.0,USS MESA VERDE,,NMVD,90,0,208,,,0,A
366874650,2022-01-01T00:00:00,29.35633,-89.06800,17.7,296.3,511.0,MR HENRY,IMO9283083,WDB2323,60,0,46,9,,60,A
366978910,2022-01-01T00:00:01,29.94837,-90.05613,0.0,249.7,511.0,RUBY E,,WDF2945,31,15,17,7,,52,A
636011397,2022-01-01T00:00:01,29.72342,-95.02203,5.9,165.8,161.0,ELKA HERCULES,IMO9234472,ELYX4,80,0,183,32,12.0,89,A
366989930,2022-01-01T00:00:53,31.00843,-91.63084,0.0,253.0,70.0,THE MULE,,WDC2242,31,0,29,11,,31,A
367733240,2022-01-01T00:00:54,38.39968,-82.55290,0.0,360.0,511.0,DOROTHY L,,WDI7891,31,10,18,,,52,A
319147800,2022-01-01T00:00:58,25.24534,-93.82300,10.0,183.7,180.0,DALI,IMO9787936,ZGHZ3,80,0,250,44,9.0,80,A
367422020,2022-01-01T00:00:00,47.55636,-122.34035,0.0,225.6,154.0,NJORD,,WCZ5435,90,3,42,,,33,A
367369060,2022-01-01T00:00:00,30.69373,-88.03449,0.0,278.2,348.0,RANDY BAYGENTS,,WDE5602,31,12,31,10,,52,A
366998080,2022-01-01T00:00:02,29.39138,-94.81505,5.0,157.0,156.0,SEA DRIFT,IMO8635904,WDC2818,31,12,22,10,,31,A
211839000,2022-01-01T00:00:05,38.65189,-74.27057,9.4,202.9,203.0,CHICAGO EXPRESS,IMO9295268,DCUJ2,70,0,336,42,14.6,79,A
367056982,2022-01-01T00:00:17,20.89493,-156.46730,0.1,262.9,511.0,HOKU-LOA,IMO9032795,WCU5446,31,0,35,10,5.2,32,A
338180022,2022-01-01T00:00:35,37.51232,-122.19265,0.0,58.9,511.0,MI AMOR,,,37,,17,,,,B
319222800,2022-01-01T00:00:54,32.09732,-81.11163,0.0,229.8,223.0,VIDA,IMO9813711,ZGOY6,37,5,55,9,2.9,37,A
